LBL,Hypoxia_grp,Aggregate_grp,Aggregate_grp2,Func_grp,General_grouping,              Family,             Order ,Class ,TSN,NODC_CODE
nanocladius spp.,.,insect,chironomid,insect,chironomid,Chironomidae          ,Diptera          ,Insecta       ,,
Natarsia spp.,.,insect,chironomid,insect,chironomid,Chironomidae        ,Diptera          ,Insecta       ,#N/A,
Orthocladiinae,.,insect,chironomid,insect,chironomid,Chironomidae    ,Diptera          ,Insecta       ,128457,
parachironomus spp.,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera,Insecta,,
parametriocnemus spp.,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera,Insecta,,
Polypedilum convictum,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,129671,
Polypedilum halterale g,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,#N/A,
polypedilum halterale group,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,,
Polypedilum illinoense,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,129686,
polypedilum illinoense group,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,,
polypedilum scalaenum group,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,,
polypedilum simulans/digitifer,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,,
Polypedilum spp.,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,#N/A,
Procladius spp.,.,insect,chironomid,insect,chironomid,Chironomidae      ,Diptera             ,Insecta       ,#N/A,
Procladius sublettei,.,insect,chironomid,insect,chironomid,Chironomidae      ,Diptera             ,Insecta       ,128316,
Pseudochironomus fulviv,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,#N/A,
pseudochironomus fulviventris,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,,
Rheotanytarsus spp.,.,insect,chironomid,insect,chironomid,Chironominae,Diptera             ,Insecta       ,#N/A,
Stictochironomus caffar,.,insect,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,#N/A,
stictochironomus caffarius,.,insect,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,,
Stictochironomus spp. g,.,insect,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,#N/A,
stictochironomus spp. group,.,insect,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,,
Tanypus neopunctipennis,.,insect,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,128329,
Tanypus spp.,.,insect,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,#N/A,
tanypus stellatus,.,insect,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,,
Tanytarsini,.,insect,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,129872,
Tanytarsus spp.,.,insect,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,#N/A,
Tanytarsus spp. G Epler,.,insect,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,#N/A,
Thienemannimyia group,.,insect,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,#N/A,
Xenochironomus spp.,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta          ,#N/A,
empididae,.,insect,insect,insect,insect,Empididae,Diptera          ,Insecta       ,,
acentria ephemerella,.,insect,insect,insect,insect,Crambidae,Lepidoptera,Insecta       ,,
Aeshna spp.,.,insect,insect,insect,insect,Aeshnidae,odonata     ,Insecta       ,#N/A,
agraylea spp.,.,insect,insect,insect,insect,Hydroptillidae ,Trichoptera,Insecta       ,,
baetidae,.,insect,insect,insect,insect,Baetidae,Ephemeroptera,Insecta       ,,
baetis spp.,.,insect,insect,insect,insect,Baetidae,Ephemeroptera,Insecta       ,,
Bezzia spp.,.,insect,insect,insect,insect,Ceratopogonidae,Diptera          ,Insecta       ,#N/A,
Caenis spp.,.,insect,insect,insect,insect,Caenidae,Ephemeroptera,Insecta       ,#N/A,
Ceratopogonidae,.,insect,insect,insect,insect,Ceratopogonidae,Diptera          ,Insecta       ,127076,
cernotina spp.,.,insect,insect,insect,insect,Polycentropodidae,Trichoptera,Insecta,,
chaoborus albatus,.,insect,insect,insect,insect,Chaoboridae,Diptera          ,Insecta       ,125905,
Chaoborus punctipennis,.,insect,insect,insect,insect,Chaoboridae,Diptera          ,Insecta       ,125923,
Chaoborus spp.,.,insect,insect,insect,insect,Chaoboridae,Diptera          ,Insecta       ,#N/A,
coenagrionidae,.,insect,insect,insect,insect,Coenagrionoidea,odonata     ,Insecta,,
culicidae,.,insect,insect,insect,insect,Culicidae,Diptera          ,Insecta       ,,
curculionidae,.,insect,insect,insect,insect,Curculionidae,Coleoptera,Insecta,,
cyrnellus fraternus,.,insect,insect,insect,insect,Polycentropodidae,Trichoptera,Insecta,,
cyrnellus spp.,.,insect,insect,insect,insect,Polycentropodidae,Trichoptera,Insecta,,
Dromogomphus armatus,.,insect,insect,insect,insect,Gomphidae,odonata     ,Insecta       ,101731,
Dubiraphia spp.,.,insect,insect,insect,insect,Elmidae       ,Coleoptera,Insecta       ,#N/A,
Elmidae,.,insect,insect,insect,insect,Elmidae       ,Coleoptera,Insecta       ,114093,
Enallagma spp.,.,insect,insect,insect,insect,Coenagriionidae,odonata     ,Insecta       ,#N/A,
ephemeroptera,.,insect,insect,insect,insect,.,Ephemeroptera,Insecta,,
Gomphidae,.,insect,insect,insect,insect,Gomphidae       ,odonata     ,Insecta       ,101664,
gomphus spp.,.,insect,insect,insect,insect,Gomphidae       ,odonata     ,Insecta       ,,
hexagenia limbata,.,insect,insect,insect,insect,Ephemeidae       ,Ephemeroptera,Insecta       ,,
Hexagenia spp.,.,insect,insect,insect,insect,Ephemeidae       ,Ephemeroptera,Insecta       ,#N/A,
hydroporini spp.,.,insect,insect,insect,insect,Dytiscidae,Coleoptera,Insecta,,
Hydroptila spp.,.,insect,insect,insect,insect,Hydroptillidae ,Trichoptera,Insecta       ,#N/A,
Hydroptilidae,.,insect,insect,insect,insect,Hydroptillidae ,Trichoptera,Insecta       ,115629,
leptoceridae,.,insect,insect,insect,insect,Leptoceridae,Trichoptera,Insecta,,
liodessus flavicollis,.,insect,insect,insect,insect,Dytiscidae,Coleoptera,Insecta,,
mallochohelea spp.,.,insect,insect,insect,insect,Ceratopogonidae,Diptera,Insecta,,
nectopsyche spp.,.,insect,insect,insect,insect,Leptoceridae,Trichoptera,Insecta,,
odonata,.,insect,insect,insect,insect,.,odonata     ,Insecta,,
oecetis cf. parva,.,insect,insect,insect,insect, Leptoceridae         ,Trichoptera,Insecta       ,,
oecetis conspicua,.,insect,insect,insect,insect, Leptoceridae         ,Trichoptera,Insecta       ,,
oecetis furva group,.,insect,insect,insect,insect, Leptoceridae         ,Trichoptera,Insecta       ,,
Oecetis inconspicua,.,insect,insect,insect,insect, Leptoceridae         ,Trichoptera,Insecta       ,116613,
Oecetis spp.,.,insect,insect,insect,insect, Leptoceridae         ,Trichoptera,Insecta       ,#N/A,
Optioservus spp.,.,insect,insect,insect,insect,Elmidae               ,Coleoptera,Insecta       ,#N/A,
orthotrichia spp.,.,insect,insect,insect,insect,Hydroptillidae ,Trichoptera,Insecta,,
Palpomyia spp.,.,insect,insect,insect,insect,Ceratopogonidae          ,Diptera          ,Insecta       ,#N/A,
Probezzia spp.,.,insect,insect,insect,insect,Ceratopogonidae         Diptera,Diptera             ,Insecta       ,#N/A,
sialis spp.,.,insect,insect,insect,insect,Sialidae,Megaloptera,Insecta,,
stenelmis crenata,.,insect,insect,insect,insect,Elmidae              ,Coleoptera,Insecta       ,,
Stenelmis spp.,.,insect,insect,insect,insect,Elmidae              ,Coleoptera,Insecta       ,#N/A,
Trichoptera,.,insect,insect,insect,insect,.              ,Trichoptera,Insecta       ,115095,
Limulus polyphemus,.,horseshoe_crab,large_crustacean,large_crustacean,horseshoe crab,Limulidae,Xiphosura,Merostomata,82703,
acanthohaustorius intermedius,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Haustoriidae ,Amphipoda,Malacostraca,,
acanthohaustorius millsi,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Haustoriidae ,Amphipoda,Malacostraca,,
americhelidium americanum,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Oedicerotidae,Amphipoda,Malacostraca,,
Ameroculodes species co,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Oedicerotidae,Amphipoda,Malacostraca,#N/A,
ameroculodes species complex,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Oedicerotidae,Amphipoda,Malacostraca,#N/A,
Ampelisca abdita,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Ampeliscidae,Amphipoda,Malacostraca,93329,
Ampelisca spp.,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Ampeliscidae,Amphipoda,Malacostraca,#N/A,
ampelisca vadorum,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Ampeliscidae,Amphipoda,Malacostraca,,
Ampelisca verrilli,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Ampeliscidae,Amphipoda,Malacostraca,93331,
amphipoda,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,.,Amphipoda,Malacostraca,,
ampithoe longimana,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Ampithoidae,Amphipoda,Malacostraca,,
Ampithoe valida,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Ampithoidae,Amphipoda,Malacostraca,93424,
ampithoidae,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Ampithoidae,Amphipoda,Malacostraca,,
Apocorophium acutum,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Corophioidea,Amphipoda,Malacostraca,#N/A,
Apocorophium lacustre,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Corophioidea,Amphipoda,Malacostraca,#N/A,
Apocorophium simile,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Corophioidea,Amphipoda,Malacostraca,#N/A,
apocorophium spp.,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Corophioidea,Amphipoda,Malacostraca,,
Batea catharinensis,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Bateidea      ,Amphipoda,Malacostraca,93528,
bathyporeia parkeri,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Bathyporeiidae,Amphipoda,Malacostraca,,
Caprella equilibra,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Caprellidae,Amphipoda,Malacostraca,95410,
Caprella penantis,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Caprellidae,Amphipoda,Malacostraca,95419,
Cerapus tubularis,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Ischyroceridae,Amphipoda,Malacostraca,93587,
Corophium spp.,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Corophiidae,Amphipoda,Malacostraca,#N/A,
Crangonyx spp.,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Crangonyctidae,Amphipoda,Malacostraca,#N/A,
cymadusa compta,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Ampithoidae,Amphipoda,Malacostraca,,
dulichiella appendiculata,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Melitidae ,Amphipoda,Malacostraca,,
Elasmopus laevis,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Maeridae  ,Amphipoda,Malacostraca,93761,
eobrolgus spinosus,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Phoxocephallidae,Amphipoda,Malacostraca,,
Ericthonius brasiliensi,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Ischyroceridae,Amphipoda,Malacostraca,#N/A,
ericthonius brasiliensis,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Ischyroceridae,Amphipoda,Malacostraca,,
Gammarus daiberi,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Gammaridae,Amphipoda,Malacostraca,93779,
Gammarus fasciatus,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Gammaridae,Amphipoda,Malacostraca,93780,
Gammarus palustris,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Gammaridae,Amphipoda,Malacostraca,93782,
Gammarus spp.,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Gammaridae,Amphipoda,Malacostraca,#N/A,
gammarus tigrinus,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Gammaridae,Amphipoda,Malacostraca,,
gitanopsis spp.,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Amphilochidae,Amphipoda,Malacostraca,,
Grandidierella spp.,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Aoridae     ,Amphipoda,Malacostraca,#N/A,
hyalella azteca,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Hyalellidae,Amphipoda,Malacostraca,,
Jassa falcata,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Ischyroceridae,Amphipoda,Malacostraca,94171,
lembos smithi,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Aoridae     ,Amphipoda,Malacostraca,,
Lepidactylus dytiscus,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Haustoriidae,Amphipoda,Malacostraca,93998,
Leptocheirus plumulosus,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Corophiidae,Amphipoda,Malacostraca,93486,
Leucothoidae,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Leucothoidae,Amphipoda,Malacostraca,94196,
Listriella barnardi,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Liljeborgiidae,Amphipoda,Malacostraca,94213,
Listriella bowenae,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Liljeborgiidae,Amphipoda,Malacostraca,#N/A,
Listriella clymenellae,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Liljeborgiidae,Amphipoda,Malacostraca,94214,
Listriella smithi,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Liljeborgiidae,Amphipoda,Malacostraca,#N/A,
Listriella spp.,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Liljeborgiidae,Amphipoda,Malacostraca,#N/A,
Melita nitida,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Melitidae ,Amphipoda,Malacostraca,93812,
melita spp.,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Melitidae ,Amphipoda,Malacostraca,,
mellita quinquiesperforata,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Melitidae ,Amphipoda,Malacostraca,,
microdeutopus gryllotalpa,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Aoridae     ,Amphipoda,Malacostraca,,
Microprotopus raneyi,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Isaeidae      ,Amphipoda,Malacostraca,94122,
Monocorophium acherusic,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Corophiidae,Amphipoda,Malacostraca,#N/A,
monocorophium acherusicum,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Corophiidae,Amphipoda,Malacostraca,,
Monocorophium insidiosu,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Corophiidae,Amphipoda,Malacostraca,#N/A,
monocorophium insidiosum,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Corophiidae,Amphipoda,Malacostraca,,
Monocorophium tubercula,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Corophiidae,Amphipoda,Malacostraca,#N/A,
monocorophium tuberculatum,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Corophiidae,Amphipoda,Malacostraca,,
Mucrogammarus mucronatu,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Gammaridae,Amphipoda,Malacostraca,#N/A,
mucrogammarus mucronatus,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Gammaridae,Amphipoda,Malacostraca,,
Paracaprella tenuis,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Caprellidae,Amphipoda,Malacostraca,95434,
parahaustorius longimerus,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Haustoriidae,Amphipoda,Malacostraca,,
Parametopella cypris,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Stenothoidae,Amphipoda,Malacostraca,94927,
Photis pollex,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Photidae   ,Amphipoda,Malacostraca,94078,
photis reinhardi,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Photidae   ,Amphipoda,Malacostraca,,
photis spp.,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Photidae   ,Amphipoda,Malacostraca,,
Pleusymtes glaber,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Pleustidae,Amphipoda,Malacostraca,94797,
protohaustorius deichmannae,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Haustoriidae,Amphipoda,Malacostraca,,
protohaustorius wigleyi,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Haustoriidae,Amphipoda,Malacostraca,,
pseudohaustorius caroliniensis,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Haustoriidae,Amphipoda,Malacostraca,,
Rhepoxynius epistomus,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Phoxocephallidae,Amphipoda,Malacostraca,94728,
stenopleustes gracilis,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Pleustidae,Amphipoda,Malacostraca,,
Stenothoe minuta,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Stenothoidae,Amphipoda,Malacostraca,94936,
stenothoe spp.,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Stenothoidae,Amphipoda,Malacostraca,,
Unciola dissimilis,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Unciolidae,Amphipoda,Malacostraca,93635,
Unciola irrorata,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Unciolidae,Amphipoda,Malacostraca,93632,
Unciola serrata,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Unciolidae,Amphipoda,Malacostraca,93633,
unciola spp.,Small_crust,amphipods,amphipods,small_crust,amphipods_isopods,Unciolidae,Amphipoda,Malacostraca,,
Aegathoa medialis,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Cymothoidae  ,Isopoda         ,Malacostraca,92440,
ancinus depressus,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Ancinidae,Isopoda         ,Malacostraca,,
asellus spp.,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Asellidae,Isopoda         ,Malacostraca,,
Cassidinidea ovalis,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Sphaeromatidea         ,Isopoda         ,Malacostraca,92348,
Chiridotea almyra,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Chaetilidae        ,Isopoda         ,Malacostraca,92638,
Chiridotea arenicola,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Chaetilidae        ,Isopoda         ,Malacostraca,92639,
Chiridotea caeca,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Chaetilidae        ,Isopoda         ,Malacostraca,92641,
Chiridotea nigrescens,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Chaetilidae        ,Isopoda         ,Malacostraca,92642,
chiridotea spp.,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Chaetilidae        ,Isopoda         ,Malacostraca,92642,
cyathura burbancki,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Anthuridae      ,Isopoda         ,Malacostraca,,
Cyathura polita,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Anthuridae      ,Isopoda         ,Malacostraca,92149,
Cyathura spp.,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Anthuridae      ,Isopoda         ,Malacostraca,#N/A,
Edotea triloba,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Idoteidae   ,Isopoda         ,Malacostraca,92627,
Erichsonella attenuata,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Idoteidae   ,Isopoda         ,Malacostraca,92618,
Erichsonella filiformis,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Idoteidae   ,Isopoda         ,Malacostraca,92619,
exosphaeroma spp.,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Sphaeromatidae,Isopoda         ,Malacostraca,,
idotea balthica,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Idoteidae   ,Isopoda         ,Malacostraca,,
idotea spp.,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Idoteidae   ,Isopoda         ,Malacostraca,,
Idoteidae,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Idoteidae   ,Isopoda         ,Malacostraca,92564,
paracerceis caudata,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Sphaeromatidae,Isopoda         ,Malacostraca,,
Ptilanthura tenuis,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Anthuridae       ,Isopoda         ,Malacostraca,92155,
sphaeroma quadridentatum,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Sphaeromatidae,Isopoda         ,Malacostraca,,
synidotea laevidorsalis,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Idoteidae     ,Isopoda         ,Malacostraca,,
Synidotea laticauda,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Idoteidae     ,Isopoda         ,Malacostraca,92581,
Synidotea spp.,Small_crust,isopods,isopods,small_crust,amphipods_isopods,Idoteidae     ,Isopoda         ,Malacostraca,#N/A,
Crangon septemspinosa,Small_crust,sand_shrimp,small_crust,small_crust,sand_shrimp,Crangonidae,Decapoda ,Malacostraca,97110,
Almyracuma proximoculi,Small_crust,cumacean,small_crust,small_crust,cumacean,Nannastacidae,Cumacea,Malacostraca,90979,
Cyclaspis varians,Small_crust,cumacean,small_crust,small_crust,cumacean,Bodotriidae,Cumacea,Malacostraca,91033,
diastylis polita,Small_crust,cumacean,small_crust,small_crust,cumacean,Diastylidae,Cumacea,Malacostraca,,
Leucon americanus,Small_crust,cumacean,small_crust,small_crust,cumacean,Leuconidae,Cumacea,Malacostraca,90790,
mancocuma stellifera,Small_crust,cumacean,small_crust,small_crust,cumacean,Bodotriidae,Cumacea,Malacostraca,,
Oxyurostylis smithi,Small_crust,cumacean,small_crust,small_crust,cumacean,Diastylidae,Cumacea,Malacostraca,90923,
Pseudoleptocuma minor,Small_crust,cumacean,small_crust,small_crust,cumacean,Bodotriidae,Cumacea,Malacostraca,91040,
Americamysis almyra,Small_crust,mysids,small_crust,small_crust,mysid,Mysidae  ,Mysida        ,Malacostraca,#N/A,
Americamysis bigelowi,Small_crust,mysids,small_crust,small_crust,mysid,Mysidae  ,Mysida        ,Malacostraca,#N/A,
Americamysis spp.,Small_crust,mysids,small_crust,small_crust,mysid,Mysidae  ,Mysida        ,Malacostraca,#N/A,
Mysidae,Small_crust,mysids,small_crust,small_crust,mysid,Mysidae  ,Mysida        ,Malacostraca,89856,
Neomysis americana,Small_crust,mysids,small_crust,small_crust,mysid,Mysidae  ,Mysida        ,Malacostraca,90062,
Hargeria rapax,Small_crust,tanaidae,small_crust,small_crust,tanaidae,Leptocheliidae,Tanaidacea,Malacostraca,92068,
leptochelia dubia,Small_crust,tanaidae,small_crust,small_crust,tanaidae,Leptocheliidae,Tanaidacea,Malacostraca,,
Leptognathia caeca,Small_crust,tanaidae,small_crust,small_crust,tanaidae,Leptocheliidae,Tanaidacea,Malacostraca,91757,
Leptosynapta tenuis,Small_crust,tanaidae,small_crust,small_crust,tanaidae,Leptocheliidae,Tanaidacea,Malacostraca,158432,
Tanaidacea,Small_crust,tanaidae,small_crust,small_crust,tanaidae,Tanaidae,Tanaidacea,Malacostraca,91061,
urnatella gracilis,.,tube_like_taxa,tube_like_taxa,tube_like_taxa,Entroprocta,Barentsiidae,.,.,,
ascidiacea,.,tunicate,tunicate,tunicate,tunicate,.,.,Ascidiacea,,
Molgula lutulenta,.,tunicate,tunicate,tunicate,tunicate,Mogulidae,Stolidobranchia,Ascidiacea,159581,
Molgula manhattensis,.,tunicate,tunicate,tunicate,tunicate,Mogulidae,Stolidobranchia,Ascidiacea,159557,
Balanoglossus aurantiac,.,worm_like_taxa,worm_like_taxa,worm_like_taxa,hemichordate,Ptychoderidae,Enteropneusta,Enteropneusta,#N/A,
balanoglossus aurantiacus,.,worm_like_taxa,worm_like_taxa,worm_like_taxa,hemichordate,Ptychoderidae,Enteropneusta,Enteropneusta,,
Hemichordata,.,worm_like_taxa,worm_like_taxa,worm_like_taxa,hemichordate,.,Enteropneusta,Enteropneusta,158616,
Saccoglossus kowalevski,.,worm_like_taxa,worm_like_taxa,worm_like_taxa,hemichordate,Harrimaniidae,Enteropneusta,Enteropneusta,#N/A,
saccoglossus kowalevskii,.,worm_like_taxa,worm_like_taxa,worm_like_taxa,hemichordate,Harrimaniidae,Enteropneusta,Enteropneusta,,
Amphiporus bioculatus,Nemertean,nemertean,nemertean,worms,nemertean,Amphiporidae,Monostilifera,Enopla              ,57533,
Carinoma tremaphoros,Nemertean,nemertean,nemertean,worms,nemertean,Carinomidae  ,Paleonemertea,Anopla         ,57429,
carinomella lactea,Nemertean,nemertean,nemertean,worms,nemertean,carinomellidae,Paleonemertea,Nemertea,,
Micrura leidyi,Nemertean,nemertean,nemertean,worms,nemertean,Lineidae,Monostilifera,Enopla         ,57477,
Nemertina,Nemertean,nemertean,nemertean,worms,nemertean,.                          ,.                       ,.                          ,#N/A,
prostoma rubrum,Nemertean,nemertean,nemertean,worms,nemertean,Tetrastemmatidae,Hoplonemertea,Nemertea,,
Arcteonais lomondi,Oligocheate,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,68976,
Aulodrilus pigueti,Oligocheate,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,68680,
Bothrioneurum vejdovsky,Oligocheate,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,#N/A,
bothrioneurum vejdovskyanum,Oligocheate,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,#N/A,
branchiodrilus spp.,Oligocheate,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,,
Branchiura sowerbyi,Oligocheate,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,68621,
bratislavia unidentata,Oligocheate,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,.,
Dero spp.,Oligocheate,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,#N/A,
Enchytraeidae,Oligocheate,oligocheate,oligocheate,worms,oligocheate,Enchytraeidae,Tubificida,Oligochaeta,68510,
Harnischia spp.,Oligocheate,oligocheate,oligocheate,worms,oligocheate,Chironomidea,Diptera     ,Insecta,#N/A,
Ilyodrilus templetoni,Oligocheate,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,68662,
Isochaetides freyi,Oligocheate,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,68810,
Limnodrilus cervix,Oligocheate,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,68652,
Limnodrilus hoffmeister,Oligocheate,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,#N/A,
limnodrilus hoffmeisteri,Oligocheate,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,,
limnodrilus spp.,Oligocheate,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,,
